Date,AUDTHB,AUDJPY,AUDUSD
7-Aug-07,28.995,101.59,0.855
8-Aug-07,29.295,103.21,0.8623
9-Aug-07,28.89,100.4,0.8495
10-Aug-07,28.76,99.93,0.844
13-Aug-07,28.67,99.53,0.8417
14-Aug-07,28.425,98.09,0.8343
15-Aug-07,27.965,95.33,0.8191
16-Aug-07,27.435,90.65,0.7936
17-Aug-07,27.56,91.29,0.7983
20-Aug-07,27.7,92.59,0.807
21-Aug-07,27.685,91.67,0.8011
22-Aug-07,27.895,93.24,0.8089
23-Aug-07,28.22,95.44,0.8204
24-Aug-07,28.445,96.31,0.8274
27-Aug-07,28.47,95.71,0.8276
28-Aug-07,27.97,92.93,0.8137
29-Aug-07,28.25,95.63,0.8228
30-Aug-07,28.01,94.56,0.8154
31-Aug-07,28.055,94.67,0.8177
3-Sep-07,28.21,95.33,0.8224
4-Sep-07,28.265,95.87,0.8239
5-Sep-07,28.21,94.63,0.822
6-Sep-07,28.435,95.66,0.8292
7-Sep-07,28.315,93.68,0.8262
10-Sep-07,28.24,93.84,0.8255
11-Sep-07,28.575,95.36,0.8339
12-Sep-07,28.82,96.08,0.8418
13-Sep-07,28.69,96.37,0.8378
14-Sep-07,28.84,97.06,0.8413
17-Sep-07,28.575,95.91,0.8337
18-Sep-07,29.215,98.95,0.8527
19-Sep-07,29.345,99.36,0.8566
20-Sep-07,29.545,98.89,0.8634
21-Sep-07,29.65,100.07,0.8669
24-Sep-07,29.705,99.79,0.8685
25-Sep-07,29.91,100.22,0.8738
26-Sep-07,30.01,101.21,0.8767
27-Sep-07,30.155,101.77,0.88
28-Sep-07,30.41,101.97,0.8873
1-Oct-07,30.62,103.44,0.8942
2-Oct-07,30.265,102.21,0.8835
3-Oct-07,30.21,103.03,0.8827
4-Oct-07,30.41,103.45,0.8883
5-Oct-07,30.715,105,0.8974
8-Oct-07,30.565,104.92,0.8929
9-Oct-07,30.81,105.49,0.9009
10-Oct-07,30.69,105.18,0.8976
11-Oct-07,30.755,105.59,0.8997
12-Oct-07,30.87,106.34,0.9042
15-Oct-07,30.745,105.62,0.9
16-Oct-07,30.32,103.73,0.8882
17-Oct-07,30.42,103.74,0.8903
18-Oct-07,30.635,103.48,0.8966
19-Oct-07,30.43,102.01,0.8906
22-Oct-07,30.27,101.53,0.8866
23-Oct-07,30.7,103.13,0.8986
24-Oct-07,30.83,103.05,0.903
25-Oct-07,31.01,103.73,0.9084
26-Oct-07,31.33,104.87,0.9184
29-Oct-07,31.4,105.74,0.922
30-Oct-07,31.25,105.31,0.9185
31-Oct-07,31.65,107.57,0.9323
1-Nov-07,30.945,104.56,0.9119
2-Nov-07,31.38,106.06,0.9234
5-Nov-07,31.3,105.29,0.9201
6-Nov-07,31.565,106.43,0.9281
7-Nov-07,31.555,104.78,0.9288
8-Nov-07,31.485,104.45,0.9272
9-Nov-07,30.92,101.08,0.9126
12-Nov-07,29.69,95.94,0.8768
13-Nov-07,30.325,99.45,0.8963
14-Nov-07,30.36,99.91,0.897
15-Nov-07,30.005,97.8,0.8862
16-Nov-07,30.215,99.01,0.8922
19-Nov-07,29.92,97,0.8835
20-Nov-07,30.155,97.97,0.8911
21-Nov-07,29.37,94.06,0.8687
22-Nov-07,29.485,94.62,0.8717
23-Nov-07,29.685,95.04,0.8772
26-Nov-07,29.435,93.27,0.8696
27-Nov-07,29.68,95.46,0.8771
28-Nov-07,30.135,98.05,0.8903
29-Nov-07,29.87,96.91,0.8822
30-Nov-07,29.935,98.36,0.8842
3-Dec-07,29.785,97.26,0.8803
4-Dec-07,29.56,95.85,0.8734
5-Dec-07,29.43,96.44,0.8696
6-Dec-07,29.685,97.75,0.8784
7-Dec-07,29.605,97.98,0.8775
10-Dec-07,29.85,98.82,0.8847
11-Dec-07,29.31,96.4,0.8718
12-Dec-07,29.665,99.02,0.8824
13-Dec-07,29.425,98.29,0.876
14-Dec-07,28.92,97.63,0.8614
17-Dec-07,28.82,96.77,0.8567
18-Dec-07,28.945,97.53,0.8602
19-Dec-07,28.925,97.47,0.8592
20-Dec-07,28.9,97.11,0.8585
21-Dec-07,29.23,99.02,0.8674
24-Dec-07,29.36,99.61,0.871
25-Dec-07,29.35,99.4,0.871
26-Dec-07,29.495,99.89,0.8738
27-Dec-07,29.655,99.76,0.8772
28-Dec-07,29.47,98.55,0.8749
31-Dec-07,29.5,97.51,0.8759
1-Jan-08,29.52,97.81,0.8763
2-Jan-08,29.665,96.79,0.8833
3-Jan-08,29.455,96.23,0.8803
4-Jan-08,29.14,94.57,0.8711
7-Jan-08,29.06,95.16,0.8711
8-Jan-08,29.22,95.6,0.8778
9-Jan-08,29.3,96.98,0.8829
10-Jan-08,29.7,98.01,0.8958
11-Jan-08,29.555,97.13,0.8912
14-Jan-08,29.83,97.31,0.8996
15-Jan-08,29.24,94.1,0.8825
16-Jan-08,29.105,94.41,0.8784
17-Jan-08,29.085,93.67,0.8771
18-Jan-08,29.065,93.94,0.8796
21-Jan-08,28.585,91.46,0.8624
22-Jan-08,28.86,92.69,0.869
23-Jan-08,28.975,93.15,0.874
24-Jan-08,29.155,94.28,0.8812
25-Jan-08,29.065,93.87,0.8795
28-Jan-08,29.365,94.96,0.8883
29-Jan-08,29.39,95.27,0.8897
30-Jan-08,29.615,95.37,0.8963
31-Jan-08,29.575,95.28,0.8961
1-Feb-08,29.77,96.4,0.9042
4-Feb-08,29.91,96.94,0.9086
5-Feb-08,29.495,95.69,0.896
6-Feb-08,29.485,95.39,0.8962
7-Feb-08,29.41,96.07,0.8936
8-Feb-08,29.5,96.15,0.8958
11-Feb-08,29.765,96.78,0.9044
12-Feb-08,29.7,96.85,0.9025
13-Feb-08,29.46,97.05,0.896
14-Feb-08,29.51,97.31,0.9016
15-Feb-08,29.53,97.9,0.9082
18-Feb-08,29.705,98.84,0.9134
19-Feb-08,29.855,98.96,0.9182
20-Feb-08,29.82,99.34,0.9193
21-Feb-08,29.83,98.61,0.9187
22-Feb-08,29.85,99.13,0.9242
25-Feb-08,29.91,100.12,0.9265
26-Feb-08,30.115,100.15,0.9333
27-Feb-08,30.265,100.33,0.9425
28-Feb-08,30.37,99.94,0.9488
29-Feb-08,29.315,96.73,0.9315
3-Mar-08,29.72,97.03,0.9395
4-Mar-08,29.335,95.82,0.9272
5-Mar-08,29.46,97.17,0.9334
6-Mar-08,29.225,95,0.9256
7-Mar-08,29.245,95.33,0.9274
10-Mar-08,28.925,93.44,0.9172
11-Mar-08,29.335,96.07,0.93
12-Mar-08,29.42,94.78,0.9318
13-Mar-08,29.725,95.03,0.946
14-Mar-08,29.435,92.85,0.9377
17-Mar-08,28.855,89.63,0.921
18-Mar-08,28.965,92.61,0.9284
19-Mar-08,28.44,89.95,0.912
20-Mar-08,28.16,89.28,0.8992
21-Mar-08,28.22,89.83,0.9021
24-Mar-08,28.535,91.29,0.9067
25-Mar-08,28.925,91.77,0.9177
26-Mar-08,28.915,91.1,0.9202
27-Mar-08,28.84,91.62,0.9189
28-Mar-08,28.86,91.01,0.9179
31-Mar-08,28.74,91.2,0.9127
1-Apr-08,28.555,92.39,0.9071
2-Apr-08,28.79,93.47,0.9141
3-Apr-08,28.975,93.68,0.9161
4-Apr-08,29.24,93.69,0.9231
7-Apr-08,29.29,94.76,0.9248
8-Apr-08,29.505,95.47,0.9309
9-Apr-08,29.495,94.58,0.929
10-Apr-08,29.385,94.94,0.9323
11-Apr-08,29.3,93.68,0.9278
14-Apr-08,29.29,93.72,0.9273
15-Apr-08,29.265,94.46,0.9264
16-Apr-08,29.575,95.66,0.9396
17-Apr-08,29.395,95.98,0.9367
18-Apr-08,29.35,96.8,0.9336
21-Apr-08,29.715,97.23,0.9424
22-Apr-08,29.69,97.23,0.9442
23-Apr-08,29.85,97.94,0.9485
24-Apr-08,29.69,97.94,0.9399
25-Apr-08,29.605,97.51,0.9338
28-Apr-08,29.755,97.67,0.9382
29-Apr-08,29.585,97.17,0.9334
30-Apr-08,29.83,97.95,0.9425
1-May-08,29.5,97.45,0.9335
2-May-08,29.69,98.61,0.9361
5-May-08,29.985,99.3,0.9467
6-May-08,30.1,99.46,0.9496
7-May-08,29.845,98.49,0.9413
8-May-08,30.14,97.96,0.9442
9-May-08,30.17,96.98,0.9423
12-May-08,30.47,98.4,0.9475
13-May-08,30.36,98.49,0.9395
14-May-08,30.33,98.12,0.9341
15-May-08,30.48,98.4,0.9399
16-May-08,30.845,99.41,0.9554
19-May-08,30.735,99.48,0.9531
20-May-08,30.685,99.34,0.9589
21-May-08,30.665,99.13,0.963
22-May-08,30.595,99.67,0.9576
23-May-08,30.77,99.15,0.9596
26-May-08,30.885,99.33,0.9607
27-May-08,30.85,99.93,0.9586
28-May-08,31.11,100.74,0.9627
29-May-08,31.03,100.86,0.9556
30-May-08,31.055,100.87,0.9559
2-Jun-08,31.115,99.82,0.9555
3-Jun-08,31.055,99.99,0.9523
4-Jun-08,31.29,100.74,0.9567
5-Jun-08,31.6,101.56,0.9588
6-Jun-08,31.88,101.01,0.9627
9-Jun-08,31.54,100.88,0.9491
10-Jun-08,31.245,101.55,0.9453
11-Jun-08,31.32,101.16,0.9468
12-Jun-08,30.98,100.87,0.9348
13-Jun-08,31.18,101.63,0.9395
16-Jun-08,31.295,101.77,0.94
17-Jun-08,31.26,101.87,0.9438
18-Jun-08,31.54,102.09,0.947
19-Jun-08,31.75,102.67,0.9506
20-Jun-08,31.805,102.35,0.9539
23-Jun-08,31.87,102.66,0.9526
24-Jun-08,32.015,103.08,0.956
25-Jun-08,32.235,103.5,0.9597
26-Jun-08,32.13,102.17,0.9567
27-Jun-08,32.21,101.98,0.9609
30-Jun-08,32.02,101.65,0.9579
1-Jul-08,31.92,101.34,0.9553
2-Jul-08,32.105,101.87,0.9616
3-Jul-08,32.055,102.51,0.9601
4-Jul-08,32.285,102.92,0.9633
7-Jul-08,32.165,102.45,0.9561
8-Jul-08,32.125,102.42,0.9536
9-Jul-08,32.135,102.08,0.9558
10-Jul-08,32.41,102.99,0.9621
11-Jul-08,32.555,102.76,0.9672
14-Jul-08,32.72,103.2,0.9718
15-Jul-08,32.765,102.41,0.9788
16-Jul-08,32.625,102.39,0.9744
17-Jul-08,32.52,103.29,0.9724
18-Jul-08,32.36,103.84,0.9708
21-Jul-08,32.62,103.92,0.977
22-Jul-08,32.425,104.24,0.9712
23-Jul-08,32.09,103.71,0.9609
24-Jul-08,32.085,103,0.9591
25-Jul-08,31.985,103.16,0.9564
28-Jul-08,32.04,102.88,0.9574
29-Jul-08,31.885,102.94,0.9526
30-Jul-08,31.625,102.1,0.9441
31-Jul-08,31.57,101.57,0.9418
1-Aug-08,31.145,100.06,0.9292
4-Aug-08,31.17,100.57,0.9291
5-Aug-08,30.795,99.21,0.9163
6-Aug-08,30.575,99.68,0.9093
7-Aug-08,30.46,99.14,0.9064
8-Aug-08,29.935,97.92,0.8887
11-Aug-08,29.805,97.21,0.8837
12-Aug-08,29.315,95.22,0.8719
13-Aug-08,29.44,95.73,0.8743
14-Aug-08,29.36,95.53,0.8706
15-Aug-08,29.315,95.72,0.8662
18-Aug-08,29.32,95.67,0.8688
19-Aug-08,29.74,95.72,0.8724
20-Aug-08,29.81,95.94,0.8735
21-Aug-08,29.895,95.52,0.8806
22-Aug-08,29.38,95.19,0.865
25-Aug-08,29.425,94.35,0.8632
26-Aug-08,29.285,93.73,0.8551
27-Aug-08,29.24,94.03,0.8584
28-Aug-08,29.415,94.34,0.8634
29-Aug-08,29.375,93.39,0.8582
1-Sep-08,29.145,91.8,0.8497
2-Sep-08,28.76,91,0.8375
3-Sep-08,28.75,90.51,0.8354
4-Sep-08,28.07,86.97,0.815
5-Sep-08,28.22,87.94,0.8162
8-Sep-08,28.195,88.13,0.8151
9-Sep-08,27.68,85.55,0.8014
10-Sep-08,27.61,85.6,0.7955
11-Sep-08,28.07,86.12,0.8085
12-Sep-08,28.575,88.89,0.8236
15-Sep-08,27.92,83.06,0.8065
16-Sep-08,27.23,85.11,0.7945
17-Sep-08,26.95,82.34,0.7863
18-Sep-08,27.34,85.19,0.8021
19-Sep-08,28.435,89.6,0.8339
22-Sep-08,28.585,89.11,0.8441
23-Sep-08,28.005,88.1,0.8307
24-Sep-08,28.35,88.56,0.833
25-Sep-08,28.33,88.74,0.8352
26-Sep-08,28.185,88.15,0.8312
29-Sep-08,27.315,83.29,0.8026
30-Sep-08,26.86,84.31,0.7944
1-Oct-08,26.81,83.92,0.7883
