Date,US_THB,US_AUD,US_JPY
16-Apr-12,30.77,1.034,80.46
17-Apr-12,30.79,1.0405,80.72
18-Apr-12,30.86,1.0367,81.29
19-Apr-12,30.87,1.0337,81.57
20-Apr-12,30.88,1.0375,81.6
23-Apr-12,31,1.0299,81.16
24-Apr-12,30.91,1.0299,81.21
25-Apr-12,30.92,1.0333,81.33
26-Apr-12,30.82,1.0383,80.78
27-Apr-12,30.72,1.0447,80.48
30-Apr-12,30.74,1.041,79.81
1-May-12,30.7,1.0345,80.17
2-May-12,30.85,1.0304,80.19
3-May-12,30.95,1.026,80.36
4-May-12,30.92,1.019,79.84
7-May-12,30.99,1.0201,79.88
8-May-12,31,1.0117,79.79
9-May-12,31.06,1.0066,79.64
10-May-12,31.11,1.0113,79.91
11-May-12,31.17,1.0065,79.86
14-May-12,31.35,0.9998,79.83
15-May-12,31.33,0.9977,80.09
16-May-12,31.36,0.9933,80.32
17-May-12,31.32,0.9925,79.26
18-May-12,31.31,0.9819,79.14
21-May-12,31.35,0.9853,79.31
22-May-12,31.36,0.9874,79.98
23-May-12,31.56,0.9709,79.33
24-May-12,31.53,0.9774,79.47
25-May-12,31.64,0.9778,79.64
28-May-12, , , 
29-May-12,31.73,0.9825,79.44
30-May-12,31.85,0.9733,78.93
31-May-12,31.83,0.9711,78.29
1-Jun-12,31.62,0.9688,78.21
4-Jun-12,31.43,0.9719,78.3
5-Jun-12,31.56,0.9722,78.57
6-Jun-12,31.47,0.9905,79.11
7-Jun-12,31.7,0.9936,79.67
8-Jun-12,31.61,0.9869,79.47
11-Jun-12,31.62,0.9925,79.5
12-Jun-12,31.54,0.9925,79.44
13-Jun-12,31.5,0.9973,79.35
14-Jun-12,31.51,0.9989,79.29
15-Jun-12,31.45,1.0057,78.65
18-Jun-12,31.44,1.0088,78.95
19-Jun-12,31.38,1.0196,78.92
20-Jun-12,31.53,1.0194,79.54
21-Jun-12,31.78,1.0095,80.18
22-Jun-12,31.79,1.0059,80.52
25-Jun-12,31.83,0.9981,79.5
26-Jun-12,31.87,1.0046,79.46
27-Jun-12,31.86,1.0071,79.83
28-Jun-12,31.87,1.0025,79.35
29-Jun-12,31.56,1.0236,79.81
2-Jul-12,31.54,1.0239,79.42
3-Jul-12,31.37,1.0294,79.77
4-Jul-12, , , 
5-Jul-12,31.55,1.0291,79.95
6-Jul-12,31.7,1.0187,79.61
9-Jul-12,31.72,1.0176,79.66
10-Jul-12,31.68,1.0218,79.44
11-Jul-12,31.7,1.0252,79.7
12-Jul-12,31.78,1.0131,79.29
13-Jul-12,31.58,1.0212,79.2
16-Jul-12,31.57,1.0236,78.8
17-Jul-12,31.66,1.0281,79.04
18-Jul-12,31.7,1.0347,78.79
19-Jul-12,31.55,1.0423,78.6
20-Jul-12,31.65,1.0383,78.49
23-Jul-12,31.72,1.027,78.38
24-Jul-12,31.76,1.0253,78.19
25-Jul-12,31.62,1.0275,78.21
26-Jul-12,31.56,1.039,78.24
27-Jul-12,31.52,1.0441,78.55
30-Jul-12,31.56,1.0489,78.2
31-Jul-12,31.49,1.0522,78.1
1-Aug-12,31.55,1.0518,78.19
2-Aug-12,31.59,1.0451,78.22
3-Aug-12,31.48,1.0566,78.6
6-Aug-12,31.44,1.0591,78.17
7-Aug-12,31.45,1.0571,78.71
8-Aug-12,31.46,1.0573,78.44
9-Aug-12,31.45,1.0567,78.64
10-Aug-12,31.43,1.0569,78.24
13-Aug-12,31.43,1.0507,78.34
14-Aug-12,31.4,1.0506,78.82
15-Aug-12,31.49,1.0509,78.89
16-Aug-12,31.45,1.0505,79.25
17-Aug-12,31.47,1.0427,79.5
20-Aug-12,31.48,1.0457,79.41
21-Aug-12,31.39,1.0493,79.43
22-Aug-12,31.38,1.0446,79.19
23-Aug-12,31.14,1.0479,78.46
24-Aug-12,31.17,1.0411,78.65
27-Aug-12,31.25,1.0387,78.67
28-Aug-12,31.29,1.0383,78.5
29-Aug-12,31.32,1.0366,78.72
30-Aug-12,31.38,1.0301,78.55
31-Aug-12,31.24,1.0334,78.3
3-Sep-12, , , 
4-Sep-12,31.2,1.023,78.35
5-Sep-12,31.23,1.0195,78.34
6-Sep-12,31.17,1.0288,78.96
7-Sep-12,31.04,1.039,78.14
10-Sep-12,31.04,1.0363,78.24
11-Sep-12,31.03,1.0442,77.78
12-Sep-12,30.99,1.0453,77.86
13-Sep-12,30.99,1.0449,77.41
14-Sep-12,30.74,1.0561,78.22
17-Sep-12,30.8,1.049,78.68
18-Sep-12,30.79,1.0446,78.59
19-Sep-12,30.79,1.048,78.4
20-Sep-12,30.85,1.041,78.3
21-Sep-12,30.77,1.0469,78.17
24-Sep-12,30.92,1.0417,77.9
25-Sep-12,30.88,1.0445,77.91
26-Sep-12,31.01,1.0357,77.78
27-Sep-12,30.88,1.044,77.62
28-Sep-12,30.82,1.0388,77.92
1-Oct-12,30.73,1.0374,78
2-Oct-12,30.67,1.0292,78.01
3-Oct-12,30.67,1.0218,78.57
4-Oct-12,30.55,1.0229,78.44
5-Oct-12,30.55,1.0218,78.66
8-Oct-12, , , 
9-Oct-12,30.68,1.0188,78.23
10-Oct-12,30.7,1.0242,78.26
11-Oct-12,30.68,1.0261,78.44
12-Oct-12,30.69,1.0228,78.31
15-Oct-12,30.73,1.0245,78.76
16-Oct-12,30.66,1.027,78.92
17-Oct-12,30.59,1.038,78.74
18-Oct-12,30.62,1.0397,79.24
19-Oct-12,30.73,1.0328,79.26
22-Oct-12,30.7,1.0318,79.84
23-Oct-12,30.76,1.0249,79.79
24-Oct-12,30.72,1.0335,79.82
25-Oct-12,30.67,1.0349,80.04
26-Oct-12,30.69,1.0358,79.63
29-Oct-12,30.73,1.0329,79.81
30-Oct-12,30.68,1.037,79.58
31-Oct-12,30.68,1.037,79.94
1-Nov-12,30.71,1.0402,80.14
2-Nov-12,30.76,1.0367,80.53
5-Nov-12,30.81,1.037,80.17
6-Nov-12,30.74,1.0438,80.28
7-Nov-12,30.71,1.0408,79.85
8-Nov-12,30.67,1.0429,79.74
9-Nov-12,30.62,1.0395,79.46
12-Nov-12, , , 
13-Nov-12,30.65,1.0434,79.42
14-Nov-12,30.67,1.0397,80.2
15-Nov-12,30.71,1.0315,81.16
16-Nov-12,30.73,1.0318,81.28
19-Nov-12,30.66,1.0406,81.18
20-Nov-12,30.67,1.0383,81.72
21-Nov-12,30.69,1.0344,82.36
22-Nov-12, , , 
23-Nov-12,30.67,1.0451,82.34
26-Nov-12,30.67,1.045,82.11
27-Nov-12,30.65,1.0461,82.23
28-Nov-12,30.71,1.047,81.84
29-Nov-12,30.69,1.0423,82.06
30-Nov-12,30.7,1.0429,82.54
3-Dec-12,30.64,1.0433,82.24
4-Dec-12,30.66,1.0477,81.86
5-Dec-12,30.67,1.046,82.4
6-Dec-12,30.65,1.0491,82.29
7-Dec-12,30.63,1.0486,82.37
10-Dec-12,30.64,1.0492,82.37
11-Dec-12,30.61,1.0518,82.42
12-Dec-12,30.59,1.0539,83.1
13-Dec-12,30.61,1.0529,83.54
14-Dec-12,30.58,1.0555,83.52
17-Dec-12,30.58,1.0548,83.7
18-Dec-12,30.59,1.0527,84
19-Dec-12,30.59,1.0497,84.32
20-Dec-12,30.61,1.0478,84.33
21-Dec-12,30.59,1.042,84.1
24-Dec-12,30.6,1.037,84.81
25-Dec-12, , , 
26-Dec-12,30.64,1.035,85.62
27-Dec-12,30.65,1.036,86.06
28-Dec-12,30.59,1.0384,86.12
31-Dec-12,30.59,1.0393,86.64
1-Jan-13, , , 
2-Jan-13,30.32,1.0492,87.1
3-Jan-13,30.33,1.0515,86.92
4-Jan-13,30.48,1.0454,88.14
7-Jan-13,30.46,1.0479,87.68
8-Jan-13,30.41,1.0486,87.31
9-Jan-13,30.36,1.0518,87.9
10-Jan-13,30.25,1.0579,88.16
11-Jan-13,30.28,1.0538,89.22
14-Jan-13,30.23,1.0561,89.34
15-Jan-13,29.94,1.0559,88.65
16-Jan-13,29.8,1.0563,88.64
17-Jan-13,29.78,1.054,89.41
18-Jan-13,29.71,1.0495,89.9
21-Jan-13, , , 
22-Jan-13,29.71,1.0557,88.62
23-Jan-13,29.79,1.0555,88.44
24-Jan-13,29.81,1.0467,90.04
25-Jan-13,29.96,1.0421,91.04
28-Jan-13,29.93,1.0401,90.73
29-Jan-13,29.76,1.0466,90.65
30-Jan-13,29.7,1.0422,91.05
31-Jan-13,29.85,1.0433,91.28
1-Feb-13,29.77,1.0412,92.54
4-Feb-13,29.76,1.0422,92.57
5-Feb-13,29.74,1.0389,93.34
6-Feb-13,29.76,1.0322,93.56
7-Feb-13,29.78,1.0285,93.24
8-Feb-13,29.79,1.0319,92.72
11-Feb-13,29.83,1.0286,93.44
12-Feb-13,29.85,1.0308,93.14
13-Feb-13,29.82,1.0345,93.39
14-Feb-13,29.79,1.0349,93.1
15-Feb-13,29.85,1.0304,93.64
18-Feb-13, , , 
19-Feb-13,29.88,1.035,93.54
20-Feb-13,29.83,1.0286,93.53
21-Feb-13,29.93,1.0251,92.96
22-Feb-13,29.82,1.0318,93.35
25-Feb-13,29.81,1.0284,93.35
26-Feb-13,29.81,1.0208,91.38
27-Feb-13,29.82,1.0202,91.88
28-Feb-13,29.76,1.0241,92.36
1-Mar-13,29.78,1.021,93.38
4-Mar-13,29.83,1.0164,93.32
5-Mar-13,29.79,1.0237,93.39
6-Mar-13,29.74,1.0248,93.64
7-Mar-13,29.73,1.0263,95
8-Mar-13,29.73,1.0227,96
11-Mar-13,29.72,1.0264,96.12
12-Mar-13,29.58,1.0317,95.96
13-Mar-13,29.62,1.0294,96
14-Mar-13,29.62,1.0387,96.16
15-Mar-13,29.51,1.0398,95.26
18-Mar-13,29.5,1.0393,94.92
19-Mar-13,29.26,1.0363,94.85
20-Mar-13,29.11,1.0389,95.51
21-Mar-13,29.17,1.0439,95.06
22-Mar-13,29.28,1.0447,94.48
25-Mar-13,29.29,1.0452,94.34
26-Mar-13,29.3,1.0484,94.22
27-Mar-13,29.27,1.0435,94.38
28-Mar-13,29.3,1.0427,94.02
29-Mar-13,29.26,1.0409,94.16
1-Apr-13,29.29,1.0421,93.3
2-Apr-13,29.4,1.0457,93.43
3-Apr-13,29.31,1.0481,92.96
4-Apr-13,29.31,1.0397,96.12
5-Apr-13,29.24,1.0385,96.86
8-Apr-13,29.24,1.0389,98.9
9-Apr-13,28.96,1.049,99.02
10-Apr-13,28.98,1.0539,99.61
11-Apr-13,29,1.0564,99.42
12-Apr-13,29.04,1.0503,98.98
15-Apr-13,29.07,1.0393,98
16-Apr-13,28.96,1.0366,97.86
17-Apr-13,28.82,1.0306,97.74
18-Apr-13,28.66,1.0301,98.22
19-Apr-13,28.6,1.0297,99.28
22-Apr-13,28.69,1.0255,99.29
23-Apr-13,28.83,1.0262,99.43
24-Apr-13,28.94,1.0256,99.39
25-Apr-13,29.17,1.0308,99.42
26-Apr-13,29.24,1.0275,97.84
29-Apr-13,29.25,1.0348,98.09
30-Apr-13,29.26,1.0372,97.52
1-May-13,29.31,1.0285,97.28
2-May-13,29.44,1.026,97.96
3-May-13,29.68,1.0313,99.1
6-May-13,29.56,1.0248,99.35
7-May-13,29.6,1.0162,99
8-May-13,29.31,1.0183,98.9
9-May-13,29.45,1.0192,99.29
10-May-13,29.8,0.9987,101.74
13-May-13,29.67,0.9965,101.84
14-May-13,29.66,0.9903,102.18
15-May-13,29.78,0.9884,102.44
16-May-13,29.72,0.9846,102.22
17-May-13,29.85,0.9737,102.98
